quote_date,success,message,kappa,theta,sigma,rho,v0,rmse_price,mae_price,n_points
2017-01-03,True,`ftol` termination condition is satisfied.,2.7916818137327946,0.0497574203909204,0.8169503260894337,-0.815963309870299,0.011410685766308633,0.8466144883040121,0.7363138401206948,59
2017-01-04,True,`ftol` termination condition is satisfied.,2.9707627742137768,0.047382299067766996,0.8516947212623744,-0.7938080672156256,0.008900287463088765,1.0205097752994767,0.8440996855028202,59
2017-01-05,True,`ftol` termination condition is satisfied.,2.7214912146677226,0.047577429677568346,0.7981311733698636,-0.7952048796501792,0.009117783916540839,0.954698737150018,0.8164623646488929,59
2017-01-06,True,`ftol` termination condition is satisfied.,3.1215477583890503,0.044409003044790576,0.8225611702471717,-0.7955220914733956,0.008275182675938764,1.2290175986287684,0.9944806834380632,59
2017-01-09,True,`ftol` termination condition is satisfied.,4.355968920245234,0.039843164812969546,1.000277649327964,-0.773815538735471,0.007966255346214028,1.3940995990907634,1.1518278413129446,59
2017-01-10,True,`ftol` termination condition is satisfied.,4.430496805130516,0.0404282076787898,1.0407529906443405,-0.7624671786071755,0.007456250496607987,1.3343896424561592,1.0771407254112202,59
2017-01-11,True,`ftol` termination condition is satisfied.,4.89880963698002,0.03983409618348197,1.1818905709505636,-0.7419775969760035,0.006998700953503929,1.2709001789714305,1.0264256687125564,59
2017-01-12,True,`ftol` termination condition is satisfied.,4.146018331267394,0.042432449405182905,1.0858940165205835,-0.7533204206561904,0.008120507376638933,0.9698455153424579,0.7816841148935835,59
2017-01-13,True,`ftol` termination condition is satisfied.,4.359697299668081,0.042790489222960415,1.1737563242579683,-0.7581008822649559,0.006600889857185624,1.0559364887512206,0.8396389461456832,59
2017-01-17,True,`ftol` termination condition is satisfied.,4.299477302906653,0.04378192595450425,1.189845131505796,-0.7555617186064951,0.007781720610748895,0.883341215918831,0.7256412714681816,59
2017-01-18,True,`ftol` termination condition is satisfied.,4.321099107735337,0.04347057201455165,1.2063721706029469,-0.7654152170292817,0.007883398612794754,0.8906598020349559,0.7538640917803017,59
2017-01-19,True,`xtol` termination condition is satisfied.,3.3672971793061754,0.04522016609275955,1.005277435368079,-0.7799390179239852,0.010027887781231617,0.7241428476063717,0.6085402182439602,59
2017-01-20,True,`ftol` termination condition is satisfied.,3.667096852875197,0.04470256151335615,1.0664461455179068,-0.7707001055083219,0.006853985363182495,0.8172177747941537,0.656645117087532,59
2017-01-23,True,`ftol` termination condition is satisfied.,3.5466425090860065,0.043728327565198205,1.0017773756039228,-0.7749639185685797,0.007949422481736404,0.8037590140739833,0.6503674158467987,59
2017-01-24,True,`ftol` termination condition is satisfied.,3.7102093084836554,0.03956283626376311,0.9459238046442372,-0.757356012072246,0.006567323230809637,0.8396916189523956,0.6885017614386181,59
2017-01-25,True,`ftol` termination condition is satisfied.,2.862529844306623,0.04279862396186935,0.8709119970373642,-0.7373183095013469,0.007045487327115432,1.0086761088776948,0.7692698034659994,59
2017-01-26,True,`ftol` termination condition is satisfied.,2.801123229902264,0.043937513470051585,0.8733626738496985,-0.7348542280715648,0.006989025510190522,0.9934194149285451,0.854043835868752,59
2017-01-27,True,`ftol` termination condition is satisfied.,3.154931821040899,0.043476250075423856,0.9591154194402495,-0.7294903735643723,0.006550105123412036,1.0409412231560191,0.8651732963289296,59
2017-01-30,True,`xtol` termination condition is satisfied.,3.1420399503472383,0.04346049538540085,0.8947760304902593,-0.7669067863234316,0.008429045946983467,0.8802874010143156,0.7281306689423743,59
2017-01-31,True,`ftol` termination condition is satisfied.,7.397792559788403,0.039900595584154916,2.1102798483404843,-0.6651017731739743,0.005994010293593938,0.33907465407783893,0.28732148495802273,59
2017-02-01,True,`ftol` termination condition is satisfied.,3.4385187486807856,0.04137105571887857,0.8962336306308868,-0.7877484333494605,0.007876919174196249,0.859171614453913,0.7331350795084582,59
2017-02-02,True,`ftol` termination condition is satisfied.,3.1116554543381874,0.043007085933803965,0.8786336997979107,-0.7991087784053802,0.009066796714297371,0.7700707035998954,0.6567975213155677,59
2017-02-03,True,`xtol` termination condition is satisfied.,3.954332152182071,0.038172636164571595,0.9271865492435793,-0.7848059274469169,0.006178745907815719,1.1793456383119165,0.9882252138467505,59
2017-02-06,True,`ftol` termination condition is satisfied.,4.476672746901175,0.037200776378044885,1.0074215216508158,-0.7869086842687448,0.006708276658021303,1.088962697802731,0.8872154760715996,59
2017-02-07,True,`ftol` termination condition is satisfied.,5.157566609365603,0.036153328666701685,1.131037683410513,-0.7700349324874347,0.00641876598402433,1.1949732861703979,1.0080595422895056,59
2017-02-08,True,`ftol` termination condition is satisfied.,5.495654015013281,0.03596854280790628,1.1492528776083228,-0.7881389594404158,0.006387275725497892,0.9720152236453724,0.7619742732478167,59
2017-02-09,True,`ftol` termination condition is satisfied.,4.261320435017698,0.03725586538912792,0.9454748878144237,-0.7818220708662029,0.006725624207821569,0.95018550078707,0.7531490693198081,59
2017-02-10,True,`ftol` termination condition is satisfied.,4.76669932201408,0.03606429186341297,1.0417910305737224,-0.7604522910330677,0.0053464847345219245,0.9962461275692586,0.8131425288331751,59
2017-02-13,True,`ftol` termination condition is satisfied.,3.571003568121402,0.0376237144365052,0.8369285125340801,-0.7653421861018466,0.006041076875816694,1.0676290217464317,0.8114927499203065,59
2017-02-14,True,`ftol` termination condition is satisfied.,3.1396174926448097,0.038150480344306424,0.8231438347117886,-0.7284572348252009,0.005704140755326422,0.8909914011913989,0.7351348702047299,59
