date,TH,UM_delta_hedged,SM,ME,TC,cash_pnl,PnL_total
2017-01-03,-22.655801038485606,16.94096090827897,-132.83577427841817,-9.029332943587361,0.0,0.0,-147.57994735221217
2017-01-04,-20.97003913314623,0.3360021621774803,-18.62228949878559,8.294634749733744,0.0,0.0,-30.961691720020596
2017-01-05,-20.05185478880577,6.359489974831885,-30.651772300031666,-10.32000498536074,0.0,0.0,-54.664142099366295
2017-01-09,-22.686093322944828,0.0,-2.43570543581302,-6.778201241242122,0.0,0.0,-31.89999999999997
2017-01-10,-18.42056504805987,3.476070403731429,-13.877246674448287,-6.382520027459742,0.0,0.0,-35.20426134623647
2017-01-11,-20.603656149744495,1.9558173993087054,33.717424465356146,-32.634073982657576,0.0,0.0,-17.56448826773722
2017-01-12,-16.70622050515277,1.3631428263994712,-40.88041853449903,26.5115852310027,0.0,0.0,-29.711910982249627
2017-01-17,-19.33370812880885,1.7170532075796685,-15.700319428859501,2.3694096934575355,0.0,0.0,-30.947564656631148
2017-01-18,-20.99374308769302,8.187506803983984,31.139576849237017,6.878762250182804,0.0,0.0,25.212102815710786
2017-01-19,-18.572265802626532,5.450609230646473,-82.56669271163162,-18.629455251917186,0.0,0.0,-114.31780453552886
2017-01-23,-20.338608083874533,22.018645171369513,-102.30480739557993,-21.4254347265926,0.0,0.0,-122.05020503467755
2017-01-24,-18.666304807216306,39.389162225399296,-35.47958399354894,-2.770972580998807,0.0,0.0,-17.52769915636476
2017-01-25,-17.271036124766283,0.24426498546796807,11.567090193708452,16.344764360641335,0.0,0.0,10.885083415051472
2017-01-26,-17.23913004865554,0.5757936431266684,15.993295507577244,-13.300277318956109,0.0,0.0,-13.970318216907735
2017-01-30,-18.624930483637854,0.3503951760314512,37.24956956315128,-17.6698683095236,0.0,0.0,1.3051659460212763
2017-01-31,-19.07492462606615,0.04299395646719964,-33.697343277128084,12.135027871559274,0.0,0.0,-40.59424607516776
2017-02-01,-19.728627988054427,0.18158035928530658,23.939343483741823,-13.770403623203118,0.0,0.0,-9.378107768230416
2017-02-02,-16.835126792321404,23.673854199812336,-87.35653268170108,0.36108192633732816,0.0,0.0,-80.15672334787283
